working on SERVER_NAME,Status,LOGIN_NAME,JOB_NAME,IS_ENABLED,LastRun,JOB_ID,DESCRIPTION,DATE_CREATED,DATE_MODIFIED,DATABASE NAME
SERVER_NAME,Status,LOGIN_NAME,JOB_NAME,IS_ENABLED,LastRun,JOB_ID,DESCRIPTION,DATE_CREATED,DATE_MODIFIED,DATABASE NAME
TDMSQL10,Success,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,115c54df-dda2-4a82-a731-dd8576e50975,No description available.,12/9/2015 15:34,12/9/2015 15:34,master
working on UDMSQL14,Never Ran,sa,IndexOptimize - USER_DATABASES,Yes,,e7801fbb-c6a4-4139-a0a8-aba8e4b807be,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
UDMSQL14,Never Ran,sa,IndexOptimize - USER_DATABASES,Yes,,e7801fbb-c6a4-4139-a0a8-aba8e4b807be,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
working on DDMSQL15,0ab3c8a0-0658-4dcd-82b4-73744dbf5da3,sa,CommandLog Cleanup,Yes,,Never Ran,Source: https://ola.hallengren.com,10/23/2017 10:21,10/23/2017 10:21,master
DDMSQL15,0ab3c8a0-0658-4dcd-82b4-73744dbf5da3,sa,CommandLog Cleanup,Yes,,Never Ran,Source: https://ola.hallengren.com,10/23/2017 10:21,10/23/2017 10:21,master
working on DDMSQL15,5bb5f4f9-e0dd-4fef-8fa1-b6abc37e830c,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,Success,No description available.,8/28/2017 11:45,8/28/2017 11:45,master
DDMSQL15,5bb5f4f9-e0dd-4fef-8fa1-b6abc37e830c,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,Success,No description available.,8/28/2017 11:45,8/28/2017 11:45,master
working on TDMSQL15,bd60adc1-7869-485e-b9da-70649bfdfeef,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,Success,No description available.,8/28/2017 11:48,8/28/2017 11:48,master
TDMSQL15,bd60adc1-7869-485e-b9da-70649bfdfeef,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,Success,No description available.,8/28/2017 11:48,8/28/2017 11:48,master
working on UDMSQL15,f21fd88d-6bd0-45a0-9a9e-b5e92df22f29,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,Success,No description available.,8/28/2017 11:47,8/28/2017 11:47,master
